Year,Fishery,Stock,Allocation
2017,Central District Drift,Kenai,569849
2017,Central District Drift,Kasilof,125242
2017,Central District Drift,Susitna,70419
2017,Central District Drift,Fish Creek,14920
2017,Central District Drift,Crescent,0
2017,Central District Drift,Other,101523
2017,ESSN,Kenai,218771.3837
2017,ESSN,Kasilof,53346.61632
2017,ESSN,Susitna,0
2017,ESSN,Fish Creek,0
2017,ESSN,Crescent,0
2017,ESSN,Other,0
2017,Northern District,Kenai,0
2017,Northern District,Kasilof,0
2017,Northern District,Susitna,23862
2017,Northern District,Fish Creek,7823
2017,Northern District,Crescent,0
2017,Northern District,Other,29433
2017,Westside,Kenai,28375.36657
2017,Westside,Kasilof,7027.873571
2017,Westside,Susitna,3529
2017,Westside,Fish Creek,831
2017,Westside,Crescent,30829
2017,Westside,Other,5032
2018,Central District Drift,Kenai,220390.9744
2018,Central District Drift,Kasilof,79836.0407
2018,Central District Drift,Susitna,37977
2018,Central District Drift,Fish Creek,13590
2018,Central District Drift,Crescent,0
2018,Central District Drift,Other,48917
2018,ESSN,Kenai,187414.2712
2018,ESSN,Kasilof,90521.7702
2018,ESSN,Susitna,0
2018,ESSN,Fish Creek,0
2018,ESSN,Crescent,0
2018,ESSN,Other,0
2018,Northern District,Kenai,0
2018,Northern District,Kasilof,0
2018,Northern District,Susitna,14763
2018,Northern District,Fish Creek,10402
2018,Northern District,Crescent,0
2018,Northern District,Other,26422
2018,Westside,Kenai,19214.61729
2018,Westside,Kasilof,8385.208827
2018,Westside,Susitna,4167
2018,Westside,Fish Creek,3737
2018,Westside,Crescent,35841
2018,Westside,Other,5837
2019,Central District Drift,Kenai,545919.7385
2019,Central District Drift,Kasilof,64154.21886
2019,Central District Drift,Susitna,34825
2019,Central District Drift,Fish Creek,6095
2019,Central District Drift,Crescent,0
2019,Central District Drift,Other,98107
2019,ESSN,Kenai,669595.2425
2019,ESSN,Kasilof,114370.8665
2019,ESSN,Susitna,0
2019,ESSN,Fish Creek,0
2019,ESSN,Crescent,0
2019,ESSN,Other,0
2019,Northern District,Kenai,0
2019,Northern District,Kasilof,0
2019,Northern District,Susitna,21124
2019,Northern District,Fish Creek,9564
2019,Northern District,Crescent,0
2019,Northern District,Other,42533
2019,Westside,Kenai,36592.40134
2019,Westside,Kasilof,4777.033706
2019,Westside,Susitna,3432
2019,Westside,Fish Creek,875
2019,Westside,Crescent,58389
2019,Westside,Other,9612
2020,Central District Drift,Kenai,177066.921
2020,Central District Drift,Kasilof,41393.80267
2020,Central District Drift,Susitna,24828
2020,Central District Drift,Fish Creek,4880
2020,Central District Drift,Crescent,0
2020,Central District Drift,Other,35559
2020,ESSN,Kenai,202740.245
2020,ESSN,Kasilof,92600.75503
2020,ESSN,Susitna,0
2020,ESSN,Fish Creek,0
2020,ESSN,Crescent,0
2020,ESSN,Other,0
2020,Northern District,Kenai,0
2020,Northern District,Kasilof,0
2020,Northern District,Susitna,18745
2020,Northern District,Fish Creek,7317
2020,Northern District,Crescent,0
2020,Northern District,Other,21759
2020,Westside,Kenai,21471.06022
2020,Westside,Kasilof,5840.129219
2020,Westside,Susitna,6599
2020,Westside,Fish Creek,1183
2020,Westside,Crescent,24888
2020,Westside,Other,8865
2021,Central District Drift,Kenai,598697.3483
2021,Central District Drift,Kasilof,74337.60345
2021,Central District Drift,Susitna,54133
2021,Central District Drift,Fish Creek,9417
2021,Central District Drift,Crescent,0
2021,Central District Drift,Other,115018
2021,ESSN,Kenai,306069.4074
2021,ESSN,Kasilof,99509.59263
2021,ESSN,Susitna,0
2021,ESSN,Fish Creek,0
2021,ESSN,Crescent,0
2021,ESSN,Other,0
2021,Northern District,Kenai,0
2021,Northern District,Kasilof,0
2021,Northern District,Susitna,27611
2021,Northern District,Fish Creek,13218
2021,Northern District,Crescent,0
2021,Northern District,Other,30588
2021,Westside,Kenai,33442.00542
2021,Westside,Kasilof,6135.359036
2021,Westside,Susitna,6960
2021,Westside,Fish Creek,2236
2021,Westside,Crescent,0
2021,Westside,Other,11733
2022,Central District Drift,Kenai,523810.8033
2022,Central District Drift,Kasilof,186017.0628
2022,Central District Drift,Susitna,55556
2022,Central District Drift,Fish Creek,7022
2022,Central District Drift,Crescent,0
2022,Central District Drift,Other,120740
2022,ESSN,Kenai,64506.19204
2022,ESSN,Kasilof,40171.80796
2022,ESSN,Susitna,0
2022,ESSN,Fish Creek,0
2022,ESSN,Crescent,0
2022,ESSN,Other,0
2022,Northern District,Kenai,0
2022,Northern District,Kasilof,0
2022,Northern District,Susitna,19425
2022,Northern District,Fish Creek,5638
2022,Northern District,Crescent,0
2022,Northern District,Other,26719
2022,Westside,Kenai,21302.32085
2022,Westside,Kasilof,8841.709781
2022,Westside,Susitna,4147
2022,Westside,Fish Creek,2087
2022,Westside,Crescent,32672
2022,Westside,Other,5038
2023,Central District Drift,Kenai,868010.869
2023,Central District Drift,Kasilof,243554.0055
2023,Central District Drift,Susitna,58945
2023,Central District Drift,Fish Creek,10276
2023,Central District Drift,Crescent,0
2023,Central District Drift,Other,185728
2023,ESSN,Kenai,
2023,ESSN,Kasilof,
2023,ESSN,Susitna,
2023,ESSN,Fish Creek,
2023,ESSN,Crescent,
2023,ESSN,Other,
2023,Northern District,Kenai,0
2023,Northern District,Kasilof,0
2023,Northern District,Susitna,15811
2023,Northern District,Fish Creek,4898
2023,Northern District,Crescent,0
2023,Northern District,Other,41167
2023,Westside,Kenai,49288.15628
2023,Westside,Kasilof,14655.66178
2023,Westside,Susitna,8961
2023,Westside,Fish Creek,1711
2023,Westside,Crescent,47400
2023,Westside,Other,26289
2024,Central District Drift,Kenai,960845.2176
2024,Central District Drift,Kasilof,405915.4158
2024,Central District Drift,Susitna,70574
2024,Central District Drift,Fish Creek,24080
2024,Central District Drift,Crescent,0
2024,Central District Drift,Other,219335
2024,ESSN,Kenai,
2024,ESSN,Kasilof,
2024,ESSN,Susitna,
2024,ESSN,Fish Creek,
2024,ESSN,Crescent,
2024,ESSN,Other,
2024,Northern District,Kenai,0
2024,Northern District,Kasilof,0
2024,Northern District,Susitna,10363
2024,Northern District,Fish Creek,8359
2024,Northern District,Crescent,0
2024,Northern District,Other,23058
2024,Westside,Kenai,51581.8854
2024,Westside,Kasilof,23828.6258
2024,Westside,Susitna,4081
2024,Westside,Fish Creek,1654
2024,Westside,Crescent,1133
2024,Westside,Other,11460
